stock_code,stock_name
8141.KL,MAJUPERAK HOLDINGS BHD
8893.KL,MK LAND HOLDINGS BHD
0085.KL,MLABS SYSTEMS BHD
2194.KL,MMC CORPORATION BHD
7040.KL,7040.KL
0059.KL,M-MODE BHD
3824.KL,3824.KL
0113.KL,MMS VENTURES BHD
0103.KL,MNC WIRELESS BHD
6459.KL,MNRB HOLDINGS BHD
0042.KL,0042.KL
6548.KL,MALAYSIA PACIFIC CORP BHD
3859.KL,MAGNUM BERHAD
3867.KL,MALAYSIAN PACIFIC INDUSTRIES
0070.KL,MQ TECHNOLOGY BHD
1651.KL,MALAYSIAN RESOURCES CORP
5916.KL,MALAYSIA SMELTING CORPORATION
5011.KL,MESINIAGA BHD
5150.KL,5150.KL
9032.KL,9032.KL
5924.KL,MTD ACPI ENGINEERING BHD
7781.KL,7781.KL
0092.KL,MTOUCHE TECHNOLOGY BHD
0043.KL,METRONIC GLOBAL BHD
3883.KL,MUDA HOLDINGS BHD
5085.KL,MUDAJAYA GROUP BHD
9539.KL,MULTI-USAGE HOLDINGS BHD
5703.KL,MUHIBBAH ENGINEERING (M) BHD
3891.KL,MALAYAN UNITED INDUSTRIES BHD
3913.KL,MUI PROPERTIES BHD
3905.KL,MULPHA INTERNATIONAL BHD
7889.KL,THRIVEN GLOBAL BERHAD
7004.KL,MCE HOLDINGS BERHAD
5043.KL,5043.KL
1902.KL,PINEHILL PACIFIC BERHAD
3921.KL,MWE HOLDINGS BHD
5087.KL,MYCRON STEEL BHD
0138.KL,MY E.G. SERVICES BHD
0108.KL,N2N CONNECT BHD
8923.KL,JIANKUN INTERNATIONAL BERHAD
5073.KL,NAIM HOLDINGS BHD
7002.KL,NAKAMICHI CORPORATION BHD
4901.KL,4901.KL
5000.KL,HUME INDUSTRIES BHD
7237.KL,POWER ROOT BERHAD
9806.KL,NATIONWIDE EXPRESS COURIER SER
5509.KL,5509.KL
4707.KL,NESTLE (M) BHD
0096.KL,NEXGRAM HOLDINGS BERHAD
7927.KL,7927.KL
7060.KL,NEW HOONG FATT HOLDINGS BHD
4464.KL,NAIM INDAH CORPORATION BHD
7215.KL,NI HSIN RESOURCES BHD
5017.KL,5017.KL
5339.KL,5339.KL
8508.KL,8508.KL
0083.KL,NOTION VTEC BHD
0026.KL,NOVA MSC BHD
5047.KL,5047.KL
2038.KL,NEGRI SEMBILAN OIL PALMS BHD
3999.KL,3999.KL
5066.KL,NTPM HOLDINGS BHD
5021.KL,AYS VENTURES BHD
5025.KL,NWP HOLDINGS BHD
4944.KL,NYLEX (M) BHD
5533.KL,OCB BHD
7049.KL,7049.KL
0049.KL,OCEANCASH PACIFIC BHD
7109.KL,OCTAGON CONSOLIDATED BHD
7107.KL,ORIENTAL FOOD INDUSTRIES HLDG
5128.KL,5128.KL
5827.KL,ORIENTAL INTEREST BHD
3697.KL,3697.KL
7140.KL,OKA CORPORATION BHD
3018.KL,OLYMPIA INDUSTRIES BHD
0018.KL,ACCSOFT TECHNOLOGY BERHAD
0035.KL,OPCOM HOLDINGS BHD
0040.KL,OPENSYS (M) BHD
4006.KL,ORIENTAL HOLDINGS BHD
5065.KL,ORNAPAPER BHD
